capitalizations,POS_VB,POS_NN,POS_RB,POS_UH,POS_JJ,exclamations,questionmarks,emoji_scores,contrast,sentiment,vader_sentiment,vader_contrast,sujectivity
4,4,6,1,0,1,0,0,0,0.2333333333333333,0.125,0.8316,0.308,0.625
5,5,3,4,0,3,0,0,0,0.7,0.7,0.0772,0.009999999999999995,0.6000000000000001
1,4,4,1,0,5,0,0,0,0.35,0.35,-0.4404,0.08100000000000003,0.65
1,3,1,2,0,2,0,0,0,0.30000000000000004,0.65,0.8221,0.43200000000000005,0.625
8,3,3,3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2,4,3,3,0,1,0,0,0,0.8,-0.8,-0.5719,0.209,0.9
4,2,6,1,0,1,0,0,0,0.1,0.1,0.4449,0.245,0.8
3,3,3,1,1,0,0,0,0,0.4,0.4,0.4019,0.213,1.0
1,2,6,1,0,4,0,0,15,0.5666666666666667,0.08333333333333334,0.8834,0.165,0.5833333333333333
4,3,2,1,0,0,0,0,0,0.0,0.0,-0.1531,0.039000000000000014,0.5
4,5,4,4,0,1,0,0,0,0.4666666666666667,-0.26666666666666666,-0.7635,0.16899999999999998,0.6666666666666666
0,5,4,1,0,3,0,0,0,0.557142857142857,-0.42857142857142855,-0.9129999999999999,0.39299999999999996,0.8281746031746031
2,2,3,0,0,1,0,0,0,0.8,0.8,0.6486,0.39799999999999996,0.7
3,5,5,4,0,1,0,0,0,0.19069264069264072,-0.035584415584415593,0.4449,0.11699999999999999,0.5071428571428571
1,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1,0,4,0,0,0,0,0,0,0.5,0.5,0.8271,0.49,0.6
7,5,6,1,0,2,0,0,0,0.4,0.4666666666666666,0.8999,0.377,0.46666666666666673
1,1,3,1,0,2,0,0,4,0.25,0.3333333333333333,0.8934,0.386,0.6333333333333333
1,3,9,1,0,1,2,0,5,0.875,0.875,0.8916,0.271,0.6000000000000001
3,6,3,1,0,0,0,0,0,0.125,0.125,0.4646,0.05200000000000002,0.6
2,3,0,3,0,0,0,0,0,0.43333333333333335,0.43333333333333335,-0.5324,0.425,0.8333333333333334
5,5,4,0,0,1,0,0,0,0.85,0.85,0.5994,0.231,1.0
2,3,2,0,0,4,0,0,2,0.5603174603174603,0.07976190476190476,0.0,0.0,0.4005952380952381
0,2,4,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
4,3,5,0,0,2,0,0,0,0.0,0.0,-0.0516,0.059000000000000004,1.0
1,4,1,2,0,2,0,0,0,0.007142857142857174,-0.007142857142857174,0.3626,0.11500000000000002,0.7285714285714286
3,5,3,3,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0
3,4,5,2,0,2,0,0,0,0.8,0.8,0.8712,0.37200000000000005,1.0
3,1,3,5,0,1,0,0,0,0.5,0.5,0.5356,0.22399999999999998,0.55
6,3,4,1,0,2,0,0,0,0.0625,-0.0625,-0.25,0.133,0.6875
2,2,4,1,0,1,2,0,0,1.0,1.0,0.8682,0.494,1.0
1,2,1,1,0,3,0,0,0,0.5499999999999999,0.06999999999999999,-0.0772,0.017999999999999988,0.5666666666666667
13,4,4,1,0,1,2,0,0,0.71875,0.71875,0.8983,0.408,0.825
5,8,3,2,0,2,0,0,5,0.1,0.1,0.5423,0.102,1.0
1,1,1,3,0,1,1,0,0,0.5625,0.5625,0.7263,0.504,0.5
0,2,1,0,0,0,1,0,0,0.5,0.625,0.6696,0.6,0.6
1,0,4,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.06666666666666667
1,3,1,3,0,1,0,0,0,0.7,0.35,0.4404,0.293,0.35000000000000003
2,2,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2,2,3,1,0,3,0,0,2,0.6,0.4,0.8074,0.39,0.7416666666666667
1,1,4,0,0,1,0,0,-2,0.12083333333333335,0.12083333333333335,0.2144,0.125,0.5375000000000001
3,4,3,2,0,1,0,0,0,0.828125,0.052083333333333336,0.6369,0.21899999999999997,0.7625000000000001
0,6,3,3,0,0,0,0,0,0.25625,-0.25625,-0.1531,0.017000000000000015,0.74375
2,3,1,2,0,1,0,0,0,1.0,1.0,0.8758,0.612,0.3
2,6,4,0,0,2,0,0,0,0.8571428571428572,0.2285714285714285,0.3612,0.057,0.6952380952380953
2,1,5,0,0,3,1,0,0,0.014772727272727269,0.4926136363636364,0.9402,0.611,0.7386363636363636
2,8,4,2,0,4,0,0,0,0.125,0.125,0.7964,0.195,0.1875
2,4,5,0,0,1,0,0,0,1.05,-0.07499999999999997,-0.2523,0.096,0.925
2,5,2,1,0,3,1,0,3,0.75,0.75,0.9307,0.409,1.0
1,2,4,3,0,1,0,0,0,0.35,0.35,0.5927,0.19399999999999998,0.55
0,3,2,0,0,2,0,0,0,0.1,0.1,0.7351,0.413,0.4
0,3,6,2,0,0,0,0,0,0.05,0.06666666666666668,0.29600000000000004,0.115,0.17500000000000002
9,1,6,1,0,0,1,0,0,0.0,0.0,0.6114,0.384,0.0
2,5,4,1,0,0,0,0,5,0.2,-0.2,0.7026,0.196,0.8
2,7,2,2,0,2,0,0,0,0.3,0.3,0.7964,0.23399999999999999,0.6000000000000001
4,8,2,2,0,0,0,0,0,0.0,0.0,0.7096,0.228,0.0
10,6,5,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2,3,3,5,0,1,0,0,0,0.07142857142857144,-0.07142857142857144,0.3818,0.14899999999999994,0.8452380952380952
30,0,5,0,0,0,0,0,0,0.0,0.0,0.5267,0.45899999999999996,0.0
3,8,3,3,0,1,0,0,0,0.3666666666666667,-0.016666666666666673,-0.3875,0.122,0.6666666666666666
3,5,6,1,0,3,0,0,0,0.037500000000000006,-0.125,-0.7783,0.245,0.35
9,3,4,0,0,2,0,0,0,0.15000000000000008,0.15000000000000008,0.0516,0.00999999999999998,0.8333333333333333
0,7,6,1,0,1,0,0,0,0.13611111111111107,0.2020833333333333,0.6808,0.13699999999999998,0.37916666666666665
1,3,8,0,0,2,0,0,0,0.15000000000000002,0.425,0.9677,0.479,0.575
1,0,2,0,0,1,0,0,0,0.04999999999999999,-0.04999999999999999,-0.0772,0.03700000000000003,0.7
6,7,9,3,0,2,2,0,2,1.2,0.4,0.8264,0.218,0.525
1,5,5,1,0,2,0,0,0,0.3,0.3,0.6369,0.16699999999999998,0.5
2,5,7,0,0,3,0,0,0,0.16666666666666666,-0.16666666666666666,-0.4137,0.107,0.16666666666666666
3,1,3,0,0,2,0,0,0,0.13636363636363635,0.13636363636363635,0.0,0.0,0.45454545454545453
9,9,8,1,0,1,0,0,0,0.5,0.5,0.9201,0.384,0.6
4,7,5,4,0,1,0,0,0,0.7476190476190476,-0.15357142857142858,-0.5742,0.12599999999999995,0.7095238095238097
2,6,5,4,0,2,0,0,0,0.2,0.1,-0.7184,0.25,0.17500000000000002
3,5,4,1,0,2,0,0,5,0.80625,0.03750000000000001,0.5621,0.08400000000000002,0.5166666666666667
2,5,7,2,0,1,0,0,0,0.08806818181818182,-0.058712121212121215,0.0,0.0,0.7140151515151515
18,4,9,2,0,2,1,0,0,0.234375,-0.234375,0.0,0.0,0.5
2,4,3,0,0,1,0,0,0,0.3,0.3,0.5106,0.21600000000000003,0.2
5,8,4,1,0,0,0,0,0,0.0,0.0,-0.29600000000000004,0.07800000000000001,0.0
4,4,7,1,0,2,0,0,0,0.2083333333333333,0.2708333333333333,0.8591,0.302,0.7791666666666667
0,9,2,3,0,1,0,0,0,0.6666666666666666,-0.6666666666666666,-0.4767,0.098,1.0
3,8,5,3,1,2,0,0,0,0.0,0.0,0.7506,0.204,0.0
1,5,5,2,0,1,0,0,0,0.35,0.35,-0.0772,0.01100000000000001,0.65
2,2,2,2,0,1,2,0,0,0.5859375,0.5859375,0.5719,0.252,0.75
3,3,3,2,0,0,0,0,0,0.5,0.5,0.6369,0.259,0.6
2,1,1,0,0,1,0,0,0,0.6,0.6,0.7906,0.875,0.6
6,1,10,0,0,1,0,0,0,0.2318181818181819,0.6454545454545454,0.8519,0.316,0.5166666666666667
1,4,3,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1,3,5,0,0,2,0,0,0,0.25,0.25,0.5859,0.255,0.3333333333333333
4,6,9,1,0,2,0,0,0,0.0,-0.5,-0.765,0.213,1.0
7,4,7,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0.2625
3,3,1,1,0,1,0,0,0,0.8,0.8,0.5719,0.23600000000000002,1.0
8,8,5,3,0,2,0,0,0,1.2,0.09999999999999998,0.8602,0.26899999999999996,0.5666666666666667
3,6,4,1,0,1,0,0,0,0.6,-0.6,-0.5574,0.204,0.9
2,4,5,2,0,3,0,0,0,0.29375,0.203125,0.6486,0.209,0.65
4,5,7,2,0,1,0,0,0,0.011363636363636357,0.12878787878787878,-0.34,0.079,0.25
0,2,6,1,0,2,0,0,0,0.315,0.0925,0.0,0.0,0.42666666666666664
2,4,2,1,0,0,0,0,0,0.8,0.8,0.5994,0.45,0.7
3,7,3,3,0,1,0,0,0,0.35,0.35,0.1027,0.051,0.55
3,5,6,1,0,2,0,0,8,0.39166666666666666,0.39166666666666666,0.9022,0.318,0.5833333333333334
1,4,5,2,0,0,0,0,0,0.0,0.0,0.7351,0.27899999999999997,0.0
5,3,5,0,0,2,0,0,4,0.2395833333333333,-0.2395833333333333,0.3818,0.07500000000000001,0.5208333333333333
1,3,2,2,0,0,0,0,0,0.0,0.0,0.3339,0.13499999999999998,0.0
2,2,1,0,0,2,0,0,0,0.5625,0.5625,0.7783,0.305,0.85
5,8,2,6,0,2,0,0,-4,0.2333333333333333,0.17500000000000002,-0.755,0.133,0.75
1,2,4,0,0,0,0,0,0,0.0,0.0,0.5267,0.21600000000000003,0.0
5,3,7,2,0,2,0,0,0,0.05,-0.025,-0.2023,0.087,0.1375
2,3,2,2,0,1,0,0,-2,0.5,0.5,0.5095,0.162,1.0
2,0,5,0,0,0,0,0,0,0.5,0.5,0.6369,0.41200000000000003,0.6
2,3,4,0,0,0,0,0,0,0.13636363636363635,0.13636363636363635,0.4767,0.313,0.5
1,3,3,1,0,0,0,0,0,0.3,0.3,0.3612,0.172,0.5
6,5,4,6,0,3,0,0,0,0.65,-0.06666666666666665,-0.8003,0.21,0.4666666666666666
2,3,6,0,0,3,2,0,0,0.15,0.1125,0.6103,0.166,0.5375
22,2,10,1,0,1,1,0,0,0.0,0.0,-0.7667,0.228,0.125
1,2,1,1,1,0,0,0,5,0.0,0.0,0.722,0.32799999999999996,0.0
1,2,3,0,0,1,0,0,0,0.6999999999999998,-0.6999999999999998,-0.6597,0.35100000000000003,0.6666666666666666
4,2,6,3,0,2,0,0,0,0.010714285714285732,0.2785714285714285,0.4404,0.132,0.5119047619047619
2,2,5,1,0,2,0,0,0,0.0,0.0,-0.1027,0.113,0.0
6,3,5,1,0,2,0,0,0,0.13636363636363635,0.13636363636363635,-0.1697,0.07,0.5
1,2,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2,1,2,1,0,2,0,0,0,0.2392857142857143,0.4452380952380953,0.4215,0.259,0.6952380952380951
6,4,5,2,0,1,0,0,0,0.2,0.6,0.9369,0.444,0.725
2,5,6,3,0,2,1,0,0,0.13636363636363635,0.17045454545454544,0.0,0.0,0.45454545454545453
5,8,1,4,0,1,0,0,0,0.04999999999999999,0.3666666666666667,0.7964,0.23600000000000002,0.9
3,6,4,2,0,1,0,0,0,0.15000000000000002,0.425,0.8126,0.224,0.575
2,5,7,1,0,1,1,0,0,0.0,0.0,-0.8955,0.319,0.0
8,2,5,1,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0
2,6,3,1,0,4,0,0,0,0.4787878787878788,0.4787878787878788,-0.0296,0.04099999999999998,0.5681818181818182
5,2,6,0,0,1,0,0,0,0.2,0.2,-0.34,0.09799999999999998,0.2833333333333333
3,6,2,2,0,1,0,0,-5,0.0,0.0,-0.276,0.04199999999999998,0.0
5,8,8,2,0,0,3,0,0,0.7,0.7,0.7916,0.187,0.2
4,1,4,0,0,0,0,0,0,0.1,-0.1,0.0,0.0,0.4
1,0,5,0,0,2,0,0,0,0.85,-0.175,-0.5574,0.375,0.925
16,4,6,0,0,0,2,0,0,0.75,-0.8125,-0.9523,0.5870000000000001,0.9
2,3,5,2,0,1,0,0,15,0.5,0.5,0.9287,0.17600000000000002,0.6
1,4,3,1,0,3,0,0,0,0.75,0.0,-0.25,0.08200000000000003,0.7666666666666666
1,6,3,4,0,1,0,0,0,0.5,0.5,-0.5216,0.11900000000000001,0.6
1,5,3,5,1,2,0,0,3,0.2928571428571428,0.04523809523809524,0.0767,0.00899999999999998,0.5785714285714285
9,4,6,0,0,0,0,0,0,0.5,-0.5,-0.9509,0.653,1.0
3,3,4,1,0,2,0,0,0,0.06666666666666668,-0.06666666666666668,-0.7565,0.302,0.03333333333333333
2,3,1,1,0,1,0,0,0,0.30000000000000004,0.6,-0.1451,0.04700000000000002,0.6
0,3,2,2,0,0,0,0,0,0.3,0.3,0.0,0.0,0.8
5,4,7,1,0,0,0,0,0,0.0,0.0,-0.3147,0.101,0.0
16,3,9,1,0,1,2,0,0,0.71875,0.265625,0.8938,0.272,0.4375
3,4,4,2,0,3,0,0,5,0.5333333333333333,0.32,0.4682,0.02799999999999997,0.5599999999999999
5,8,4,2,0,1,0,0,0,0.2,0.2,-0.3299,0.010999999999999996,0.2
2,1,3,3,0,0,0,0,3,0.0,0.0,0.1779,0.015999999999999986,0.0
1,7,4,3,0,1,0,0,0,0.0,0.0,-0.1808,0.010000000000000007,1.0
1,3,4,0,0,0,0,0,0,0.8,0.8,0.3182,0.181,0.7
17,4,9,0,0,1,1,0,0,0.625,-0.3125,-0.5255,0.129,0.45
2,6,6,2,0,1,0,0,0,0.04999999999999999,0.13333333333333333,0.1531,0.02099999999999999,0.7
1,1,1,1,0,1,0,0,0,0.4,0.4,0.6908,0.655,0.9
1,3,1,2,0,1,0,0,0,0.8,-0.8,-0.4019,0.31,0.9
8,3,3,4,0,3,0,0,0,0.2,0.05000000000000001,-0.3058,0.092,0.65625
1,2,1,0,0,1,0,0,0,0.2857142857142857,0.2857142857142857,0.0,0.0,0.5357142857142857
3,6,9,4,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2,3,6,1,0,2,0,0,0,0.3,-0.15,0.0,0.0,0.23333333333333334
3,2,6,1,0,1,0,0,8,0.7000000000000001,0.7000000000000001,0.836,0.298,0.7999999999999999
